wmc,dit,noc,cbo,rfc,lcom,loc,bug1
13,2,0,6,24,64,172,1
3,1,0,2,24,1,121,1
27,2,0,8,47,149,538,1
11,4,0,11,24,9,150,1
23,2,0,9,48,221,378,1
9,3,0,11,16,36,70,1
16,2,2,6,31,102,9886,1
11,2,0,7,35,11,242,1
8,1,0,7,29,0,242,0
11,2,0,5,16,55,95,0
9,1,0,2,32,20,291,1
14,2,0,8,32,73,192,1
1,5,0,1,2,0,5,0
12,2,0,17,49,0,269,1
11,2,0,6,22,35,126,1
16,2,2,8,43,96,457,1
1,1,0,0,2,0,58,0
10,2,0,5,19,5,223,0
2,1,0,10,20,1,166,1
10,2,0,4,18,25,83,1
9,2,0,5,13,36,62,0
4,1,0,2,24,4,146,0
11,2,0,7,21,35,107,0
23,2,0,12,60,65,386,1
7,2,0,6,14,9,48,0
39,1,0,3,78,0,234,0
4,2,0,1,12,4,44,1
8,2,0,3,15,4,90,1
12,2,0,6,18,54,222,1
33,2,0,9,63,326,684,1
32,3,0,7,64,312,614,1
0,1,0,1,0,0,5,0
12,2,0,6,21,54,122,1
14,2,0,9,30,55,258,1
15,2,0,10,32,53,209,1
6,3,0,5,9,15,31,0
5,2,21,24,6,10,13,0
6,1,0,9,15,15,128,1
8,2,0,5,15,28,60,1
28,1,0,2,35,198,388,1
21,2,0,8,33,148,286,1
48,2,0,10,64,616,667,1
3,3,0,6,5,1,25,1
11,2,0,6,22,35,122,1
11,2,0,6,20,43,105,1
11,2,0,7,20,35,113,1
4,1,0,3,4,6,4,0
4,1,0,5,5,0,28,0
24,2,0,15,86,116,781,0
14,2,0,9,30,55,259,1
6,1,0,1,16,0,108,0
6,1,0,7,12,0,175,1
11,1,0,11,34,0,210,1
10,2,0,6,19,33,91,1
13,2,0,8,24,44,171,1
24,2,0,11,39,234,365,1
4,1,1,11,27,4,214,1
3,1,0,5,4,3,8,1
9,2,0,5,16,36,71,1
7,3,0,4,14,9,85,0
15,2,0,7,32,43,253,1
19,2,0,6,33,95,320,1
10,2,0,6,19,39,91,1
10,2,0,6,19,33,101,1
9,1,0,5,29,0,139,0
12,1,0,6,32,34,346,1
22,1,0,12,47,0,307,1
9,1,0,9,27,36,204,0
36,1,0,18,90,252,1699,1
10,2,0,5,18,39,75,1
5,3,0,4,17,10,52,0
3,3,0,3,8,3,92,0
0,1,0,0,0,0,4,0
9,2,0,5,19,24,97,1
51,3,0,11,99,1275,564,0
3,3,0,3,8,3,92,0
18,1,1,14,64,127,714,1
19,2,0,7,40,123,320,1
7,2,0,3,9,9,69,0
8,2,3,13,24,0,121,1
5,1,0,5,6,2,36,0
9,3,0,6,23,0,150,1
4,1,0,8,15,4,55,0
95,2,0,11,115,3119,1371,1
9,2,0,5,13,36,62,1
4,5,0,3,8,6,20,0
3,2,2,12,4,0,24,0
17,1,3,18,19,84,152,1
26,1,1,16,72,273,553,0
19,2,0,7,30,95,322,1
5,1,0,0,11,0,86,0
11,3,1,11,14,41,66,1
134,1,0,65,390,7059,3878,1
10,2,0,6,19,33,101,1
37,2,0,8,60,350,739,1
23,2,0,9,39,181,388,1
34,2,1,13,60,187,700,1
30,2,0,9,43,141,372,1
18,2,0,9,36,51,300,1
35,2,0,8,56,189,635,1
11,2,0,6,22,35,125,1
2,1,0,3,5,0,49,0
11,2,0,5,22,25,124,1
1,1,0,21,1,0,1,1
17,1,0,36,95,106,461,1
20,2,0,14,65,94,327,0
4,1,0,0,40,6,323,0
10,1,0,11,23,0,359,0
1,1,0,7,1,0,1,0
23,2,0,8,39,75,374,1
4,1,0,2,18,0,129,0
11,2,0,6,22,35,122,1
9,2,0,5,13,36,62,1
10,2,0,4,14,45,57,0
3,1,0,2,6,0,41,1
5,2,0,3,20,0,138,0
37,2,1,8,58,246,687,1
49,2,0,15,103,740,1010,1
1,1,0,2,1,0,1,0
1,1,0,13,1,0,1,0
11,2,0,10,24,0,174,1
2,1,0,22,2,1,2,1
11,2,0,6,22,35,122,1
55,3,0,7,72,1485,485,1
10,2,0,6,19,39,91,1
3,3,0,6,4,1,22,1
25,1,0,1,29,0,635,0
11,2,0,7,20,35,113,1
2,1,0,2,4,1,39,1
11,2,0,15,46,25,366,1
20,1,0,2,34,158,262,1
22,2,1,12,52,89,417,0
11,2,0,6,22,35,122,1
61,2,0,8,84,610,1176,1
5,2,0,15,41,6,177,1
25,2,0,8,44,140,437,1
10,2,0,6,19,39,93,1
88,1,0,115,308,2862,3649,1
28,3,2,10,56,0,160,0
11,2,0,6,20,43,102,1
102,1,0,38,302,0,1843,1
1,1,0,5,1,0,1,0
11,2,0,9,30,17,1209,1
19,2,0,19,89,155,531,1
9,1,0,5,32,0,431,0
36,1,0,188,44,630,398,1
7,2,0,3,8,21,26,0
2,1,0,5,2,1,2,0
10,2,0,6,19,39,91,1
10,2,0,6,15,45,59,0
15,2,0,6,31,43,229,1
5,1,0,3,21,0,149,1
23,2,0,8,39,35,360,1
10,2,0,7,19,39,91,1
1,1,0,3,1,0,1,0
56,1,0,35,146,728,2031,1
17,2,0,8,33,0,227,1
21,2,0,6,32,120,379,1
4,3,0,13,32,4,155,1
2,1,0,5,10,1,82,0
8,2,0,4,12,22,94,0
7,1,0,4,18,0,75,1
12,1,2,18,13,42,62,0
7,1,0,3,30,0,212,0
25,1,0,0,29,0,629,1
10,2,0,5,14,45,52,0
2,1,0,9,8,1,24,1
11,2,0,7,20,35,113,1
12,3,0,13,70,0,613,1
27,1,0,4,31,0,683,1
20,3,0,36,129,124,1234,1
6,2,2,10,25,3,154,1
10,2,0,6,19,39,94,1
13,2,0,6,22,56,137,1
10,1,2,6,14,19,71,0
9,2,0,4,13,36,58,0
4,1,0,5,4,6,4,0
11,2,0,8,20,35,112,1
3,2,4,9,11,3,46,1
43,2,0,8,59,305,794,1
6,1,2,5,13,0,107,1
7,3,0,1,18,21,301,0
21,2,5,14,42,38,318,1
10,2,0,6,24,33,166,1
3,4,2,3,4,0,21,0
